cntry,Country_Name,Country_Highlight,Age_Group,Political_Spectrum,Avg_Immigration,n,Intensidad
EE,Estonia,Resto de Europa,Millennials (27-42),Izquierda (0-3),5.890916938056336,30,Neutral
EE,Estonia,Resto de Europa,Millennials (27-42),Centro (4-6),5.139155713646716,164,Neutral
EE,Estonia,Resto de Europa,Millennials (27-42),Derecha (7-10),5.479167034385847,67,Neutral
EE,Estonia,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.993446726403246,24,Negativo
EE,Estonia,Resto de Europa,Gen X (43-58),Centro (4-6),5.262284342608525,179,Neutral
EE,Estonia,Resto de Europa,Gen X (43-58),Derecha (7-10),5.635722202872697,120,Neutral
EE,Estonia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.961868152271762,32,Negativo
EE,Estonia,Resto de Europa,Boomers+ (59+),Centro (4-6),5.059149234435993,202,Neutral
EE,Estonia,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.058414749667269,124,Neutral
ES,España,España,Gen Z (<27),Izquierda (0-3),6.8760824335186435,54,Positivo
ES,España,España,Gen Z (<27),Centro (4-6),6.194340782350507,121,Positivo
ES,España,España,Gen Z (<27),Derecha (7-10),5.4038067253229665,60,Neutral
ES,España,España,Millennials (27-42),Izquierda (0-3),7.15201868623707,104,Muy positivo
ES,España,España,Millennials (27-42),Centro (4-6),6.193305804781383,177,Positivo
ES,España,España,Millennials (27-42),Derecha (7-10),5.749339272512874,50,Neutral
ES,España,España,Gen X (43-58),Izquierda (0-3),6.861737192353708,162,Positivo
ES,España,España,Gen X (43-58),Centro (4-6),6.161253657580109,229,Positivo
ES,España,España,Gen X (43-58),Derecha (7-10),5.3601200012342725,91,Neutral
ES,España,España,Boomers+ (59+),Izquierda (0-3),6.5274461283890295,197,Positivo
ES,España,España,Boomers+ (59+),Centro (4-6),6.019904493672144,255,Positivo
ES,España,España,Boomers+ (59+),Derecha (7-10),5.404880783480301,134,Neutral
FI,Finlandia,Resto de Europa,Gen Z (<27),Izquierda (0-3),7.712905792625436,53,Muy positivo
FI,Finlandia,Resto de Europa,Gen Z (<27),Centro (4-6),6.343576396358045,65,Positivo
FI,Finlandia,Resto de Europa,Gen Z (<27),Derecha (7-10),5.7531165193604545,48,Neutral
FI,Finlandia,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.867033583571587,89,Muy positivo
FI,Finlandia,Resto de Europa,Millennials (27-42),Centro (4-6),6.310797534472518,155,Positivo
FI,Finlandia,Resto de Europa,Millennials (27-42),Derecha (7-10),5.69981650794519,93,Neutral
FI,Finlandia,Resto de Europa,Gen X (43-58),Izquierda (0-3),7.611605464199627,58,Muy positivo
FI,Finlandia,Resto de Europa,Gen X (43-58),Centro (4-6),6.176772995474911,141,Positivo
FI,Finlandia,Resto de Europa,Gen X (43-58),Derecha (7-10),6.286354413477569,141,Positivo
FI,Finlandia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),6.82788156768693,80,Positivo
FI,Finlandia,Resto de Europa,Boomers+ (59+),Centro (4-6),6.394498210198812,291,Positivo
FI,Finlandia,Resto de Europa,Boomers+ (59+),Derecha (7-10),6.6059517023421295,286,Positivo
FR,Francia,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.610647734383733,55,Positivo
FR,Francia,Resto de Europa,Gen Z (<27),Centro (4-6),5.854698539197146,131,Neutral
FR,Francia,Resto de Europa,Gen Z (<27),Derecha (7-10),4.480435567793263,39,Negativo
FR,Francia,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.021697630705587,113,Muy positivo
FR,Francia,Resto de Europa,Millennials (27-42),Centro (4-6),5.627194024902664,137,Neutral
FR,Francia,Resto de Europa,Millennials (27-42),Derecha (7-10),4.224258965899038,81,Negativo
FR,Francia,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.681526346686838,93,Positivo
FR,Francia,Resto de Europa,Gen X (43-58),Centro (4-6),5.813423719781374,196,Neutral
FR,Francia,Resto de Europa,Gen X (43-58),Derecha (7-10),3.8501890379803863,118,Muy negativo
FR,Francia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.99251611312126,137,Neutral
FR,Francia,Resto de Europa,Boomers+ (59+),Centro (4-6),4.930633023933378,260,Negativo
FR,Francia,Resto de Europa,Boomers+ (59+),Derecha (7-10),4.038074528361244,175,Negativo
GB,Reino Unido,Resto de Europa,Gen Z (<27),Izquierda (0-3),7.590307563448956,41,Muy positivo
GB,Reino Unido,Resto de Europa,Gen Z (<27),Centro (4-6),6.7399735207319,51,Positivo
GB,Reino Unido,Resto de Europa,Gen Z (<27),Derecha (7-10),4.1105366538304375,4,Negativo
GB,Reino Unido,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.959567594861591,100,Muy positivo
GB,Reino Unido,Resto de Europa,Millennials (27-42),Centro (4-6),6.801460080513082,178,Positivo
GB,Reino Unido,Resto de Europa,Millennials (27-42),Derecha (7-10),7.143963244255493,28,Muy positivo
GB,Reino Unido,Resto de Europa,Gen X (43-58),Izquierda (0-3),7.170439179211038,98,Muy positivo
GB,Reino Unido,Resto de Europa,Gen X (43-58),Centro (4-6),6.569866366251023,175,Positivo
GB,Reino Unido,Resto de Europa,Gen X (43-58),Derecha (7-10),5.663506985774755,52,Neutral
GB,Reino Unido,Resto de Europa,Boomers+ (59+),Izquierda (0-3),7.293051401086047,127,Muy positivo
GB,Reino Unido,Resto de Europa,Boomers+ (59+),Centro (4-6),5.641423606020757,351,Neutral
GB,Reino Unido,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.313961489087099,132,Neutral
GR,Grecia,Resto de Europa,Gen Z (<27),Izquierda (0-3),5.48649103239036,42,Neutral
GR,Grecia,Resto de Europa,Gen Z (<27),Centro (4-6),4.133238191550007,121,Negativo
GR,Grecia,Resto de Europa,Gen Z (<27),Derecha (7-10),4.057238352863777,47,Negativo
GR,Grecia,Resto de Europa,Millennials (27-42),Izquierda (0-3),4.775590296170366,115,Negativo
GR,Grecia,Resto de Europa,Millennials (27-42),Centro (4-6),4.427311526803457,285,Negativo
GR,Grecia,Resto de Europa,Millennials (27-42),Derecha (7-10),4.065241101498491,140,Negativo
GR,Grecia,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.765950749639467,143,Negativo
GR,Grecia,Resto de Europa,Gen X (43-58),Centro (4-6),4.151074439344163,389,Negativo
GR,Grecia,Resto de Europa,Gen X (43-58),Derecha (7-10),4.020693867545956,215,Negativo
GR,Grecia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.077631711595956,151,Negativo
GR,Grecia,Resto de Europa,Boomers+ (59+),Centro (4-6),3.8311301490465155,355,Muy negativo
GR,Grecia,Resto de Europa,Boomers+ (59+),Derecha (7-10),3.5375915529564,304,Muy negativo
HR,Croacia,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.132295522782812,37,Positivo
HR,Croacia,Resto de Europa,Gen Z (<27),Centro (4-6),5.578990470143101,97,Neutral
HR,Croacia,Resto de Europa,Gen Z (<27),Derecha (7-10),5.22872508063254,31,Neutral
HR,Croacia,Resto de Europa,Millennials (27-42),Izquierda (0-3),5.005981688178411,48,Neutral
HR,Croacia,Resto de Europa,Millennials (27-42),Centro (4-6),5.213604099111507,163,Neutral
HR,Croacia,Resto de Europa,Millennials (27-42),Derecha (7-10),5.008878779412186,65,Neutral
HR,Croacia,Resto de Europa,Gen X (43-58),Izquierda (0-3),5.347779274084026,68,Neutral
HR,Croacia,Resto de Europa,Gen X (43-58),Centro (4-6),4.765310969641667,175,Negativo
HR,Croacia,Resto de Europa,Gen X (43-58),Derecha (7-10),4.418062970749722,76,Negativo
HR,Croacia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.370396137315495,112,Neutral
HR,Croacia,Resto de Europa,Boomers+ (59+),Centro (4-6),5.1262876642928425,276,Neutral
HR,Croacia,Resto de Europa,Boomers+ (59+),Derecha (7-10),4.446178068316725,155,Negativo
HU,Hungría,Resto de Europa,Gen Z (<27),Izquierda (0-3),4.408930847147313,22,Negativo
HU,Hungría,Resto de Europa,Gen Z (<27),Centro (4-6),3.8990874394576456,103,Muy negativo
HU,Hungría,Resto de Europa,Gen Z (<27),Derecha (7-10),4.261124624722863,48,Negativo
HU,Hungría,Resto de Europa,Millennials (27-42),Izquierda (0-3),4.575663694465436,87,Negativo
HU,Hungría,Resto de Europa,Millennials (27-42),Centro (4-6),3.8053120915370613,195,Muy negativo
HU,Hungría,Resto de Europa,Millennials (27-42),Derecha (7-10),3.367655325426489,140,Muy negativo
HU,Hungría,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.321043293255209,112,Negativo
HU,Hungría,Resto de Europa,Gen X (43-58),Centro (4-6),3.9053717784933455,211,Muy negativo
HU,Hungría,Resto de Europa,Gen X (43-58),Derecha (7-10),3.434224504492789,208,Muy negativo
HU,Hungría,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.507938933041071,119,Negativo
HU,Hungría,Resto de Europa,Boomers+ (59+),Centro (4-6),3.562785842608734,215,Muy negativo
HU,Hungría,Resto de Europa,Boomers+ (59+),Derecha (7-10),3.474593127696364,279,Muy negativo
IE,Irlanda,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.507287565420525,34,Positivo
IE,Irlanda,Resto de Europa,Gen Z (<27),Centro (4-6),6.305665855221104,65,Positivo
IE,Irlanda,Resto de Europa,Gen Z (<27),Derecha (7-10),5.209549390976259,7,Neutral
IE,Irlanda,Resto de Europa,Millennials (27-42),Izquierda (0-3),6.799277926799373,79,Positivo
IE,Irlanda,Resto de Europa,Millennials (27-42),Centro (4-6),6.440622784497034,231,Positivo
IE,Irlanda,Resto de Europa,Millennials (27-42),Derecha (7-10),6.181553054526452,49,Positivo
IE,Irlanda,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.238190001913786,95,Positivo
IE,Irlanda,Resto de Europa,Gen X (43-58),Centro (4-6),6.137653523826516,305,Positivo
IE,Irlanda,Resto de Europa,Gen X (43-58),Derecha (7-10),5.928733629263531,57,Neutral
IE,Irlanda,Resto de Europa,Boomers+ (59+),Izquierda (0-3),6.472989198425001,118,Positivo
IE,Irlanda,Resto de Europa,Boomers+ (59+),Centro (4-6),6.002129602908539,457,Positivo
IE,Irlanda,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.81873431829617,176,Neutral
IL,Israel,Resto de Europa,Gen Z (<27),Izquierda (0-3),4.599546344238622,44,Negativo
IL,Israel,Resto de Europa,Gen Z (<27),Centro (4-6),4.089569219695187,65,Negativo
IL,Israel,Resto de Europa,Gen Z (<27),Derecha (7-10),4.994366410685828,72,Negativo
IL,Israel,Resto de Europa,Millennials (27-42),Izquierda (0-3),4.188462322217266,47,Negativo
IL,Israel,Resto de Europa,Millennials (27-42),Centro (4-6),3.778535089774693,87,Muy negativo
IL,Israel,Resto de Europa,Millennials (27-42),Derecha (7-10),4.9095973433385405,110,Negativo
IL,Israel,Resto de Europa,Gen X (43-58),Izquierda (0-3),3.9475040592424273,32,Muy negativo
IL,Israel,Resto de Europa,Gen X (43-58),Centro (4-6),4.810503908043767,74,Negativo
IL,Israel,Resto de Europa,Gen X (43-58),Derecha (7-10),5.73648366352733,78,Neutral
IL,Israel,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.995340992426593,30,Neutral
IL,Israel,Resto de Europa,Boomers+ (59+),Centro (4-6),5.060349724632271,75,Neutral
IL,Israel,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.724371996477471,65,Neutral
IS,Islandia,Resto de Europa,Gen Z (<27),Izquierda (0-3),7.330677217367058,34,Muy positivo
IS,Islandia,Resto de Europa,Gen Z (<27),Centro (4-6),6.073502741796302,42,Positivo
IS,Islandia,Resto de Europa,Gen Z (<27),Derecha (7-10),4.656369896600771,7,Negativo
IS,Islandia,Resto de Europa,Millennials (27-42),Izquierda (0-3),7.966188975877093,66,Muy positivo
IS,Islandia,Resto de Europa,Millennials (27-42),Centro (4-6),7.036356882842604,104,Muy positivo
IS,Islandia,Resto de Europa,Millennials (27-42),Derecha (7-10),6.163856205734395,41,Positivo
IS,Islandia,Resto de Europa,Gen X (43-58),Izquierda (0-3),7.981439254051417,53,Muy positivo
IS,Islandia,Resto de Europa,Gen X (43-58),Centro (4-6),7.1281575018221215,106,Muy positivo
IS,Islandia,Resto de Europa,Gen X (43-58),Derecha (7-10),6.117756919813148,60,Positivo
IS,Islandia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),7.429222147558075,76,Muy positivo
IS,Islandia,Resto de Europa,Boomers+ (59+),Centro (4-6),6.625564145299165,122,Positivo
IS,Islandia,Resto de Europa,Boomers+ (59+),Derecha (7-10),6.47004484797862,84,Positivo
IT,Italia,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.824170523379644,62,Positivo
IT,Italia,Resto de Europa,Gen Z (<27),Centro (4-6),5.313025588813563,116,Neutral
IT,Italia,Resto de Europa,Gen Z (<27),Derecha (7-10),5.006404304301483,59,Neutral
IT,Italia,Resto de Europa,Millennials (27-42),Izquierda (0-3),6.352400450611368,106,Positivo
IT,Italia,Resto de Europa,Millennials (27-42),Centro (4-6),5.271869742952406,244,Neutral
IT,Italia,Resto de Europa,Millennials (27-42),Derecha (7-10),3.857684841125007,97,Muy negativo
IT,Italia,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.24570909527587,117,Positivo
IT,Italia,Resto de Europa,Gen X (43-58),Centro (4-6),5.074256110452158,266,Neutral
IT,Italia,Resto de Europa,Gen X (43-58),Derecha (7-10),3.8603067603960755,168,Muy negativo
IT,Italia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),5.7360292806616515,189,Neutral
IT,Italia,Resto de Europa,Boomers+ (59+),Centro (4-6),4.627489770048865,379,Negativo
IT,Italia,Resto de Europa,Boomers+ (59+),Derecha (7-10),3.3411767105530155,273,Muy negativo
LT,Lituania,Resto de Europa,Gen Z (<27),Izquierda (0-3),4.343069046088986,11,Negativo
LT,Lituania,Resto de Europa,Gen Z (<27),Centro (4-6),6.226179419345427,48,Positivo
LT,Lituania,Resto de Europa,Gen Z (<27),Derecha (7-10),7.199519042250699,33,Muy positivo
LT,Lituania,Resto de Europa,Millennials (27-42),Izquierda (0-3),5.575349720081061,45,Neutral
LT,Lituania,Resto de Europa,Millennials (27-42),Centro (4-6),5.142471493548585,165,Neutral
LT,Lituania,Resto de Europa,Millennials (27-42),Derecha (7-10),6.342421302216962,57,Positivo
LT,Lituania,Resto de Europa,Gen X (43-58),Izquierda (0-3),5.049219289470049,55,Neutral
LT,Lituania,Resto de Europa,Gen X (43-58),Centro (4-6),4.729508315325893,160,Negativo
LT,Lituania,Resto de Europa,Gen X (43-58),Derecha (7-10),5.645581251648417,71,Neutral
LT,Lituania,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.717387775452496,78,Negativo
LT,Lituania,Resto de Europa,Boomers+ (59+),Centro (4-6),5.107014035635368,157,Neutral
LT,Lituania,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.485500924237584,104,Neutral
LV,Letonia,Resto de Europa,Gen Z (<27),Izquierda (0-3),5.403969106021889,5,Neutral
LV,Letonia,Resto de Europa,Gen Z (<27),Centro (4-6),5.292224806578888,25,Neutral
LV,Letonia,Resto de Europa,Gen Z (<27),Derecha (7-10),5.631637728095583,20,Neutral
LV,Letonia,Resto de Europa,Millennials (27-42),Izquierda (0-3),5.096755869645091,11,Neutral
LV,Letonia,Resto de Europa,Millennials (27-42),Centro (4-6),5.929181846179249,73,Neutral
LV,Letonia,Resto de Europa,Millennials (27-42),Derecha (7-10),5.288891670589229,55,Neutral
LV,Letonia,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.207367352184778,12,Negativo
LV,Letonia,Resto de Europa,Gen X (43-58),Centro (4-6),4.884039518234271,110,Negativo
LV,Letonia,Resto de Europa,Gen X (43-58),Derecha (7-10),4.581140621093937,59,Negativo
LV,Letonia,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.04114063594595,42,Negativo
LV,Letonia,Resto de Europa,Boomers+ (59+),Centro (4-6),4.370434534866195,232,Negativo
LV,Letonia,Resto de Europa,Boomers+ (59+),Derecha (7-10),4.382155943323591,157,Negativo
ME,Montenegro,Resto de Europa,Gen Z (<27),Izquierda (0-3),4.922005087418051,26,Negativo
