cntry,Country_Name,Country_Highlight,Region,Education_Level,Avg_Immigration,Avg_Culture,n,Education_Gradient
HU,Hungría,Resto de Europa,Europa Oriental,Básica,3.5070133860818893,3.6133812823776377,313,0.8594031075177901
HU,Hungría,Resto de Europa,Europa Oriental,Media,3.739195335015888,3.771554359378779,1196,0.8594031075177901
HU,Hungría,Resto de Europa,Europa Oriental,Superior,4.366416493599679,4.421064962820986,229,0.8594031075177901
IE,Irlanda,Resto de Europa,Europa Occidental,Básica,5.242768670452067,5.253502139368511,438,1.947286385835052
IE,Irlanda,Resto de Europa,Europa Occidental,Media,5.913668884855689,5.944472637333489,700,1.947286385835052
IE,Irlanda,Resto de Europa,Europa Occidental,Superior,7.190055056287119,7.197385948469786,528,1.947286385835052
IL,Israel,Resto de Europa,Otro,Básica,4.911073583221736,4.839923616427235,61,0.8236811875996253
IL,Israel,Resto de Europa,Otro,Media,4.565335280653616,4.59170894411857,432,0.8236811875996253
IL,Israel,Resto de Europa,Otro,Superior,5.389016468253241,5.662641469415369,242,0.8236811875996253
IS,Islandia,Resto de Europa,Europa Nórdica,Básica,6.391592200204583,6.4554173398354875,165,1.1147530292407337
IS,Islandia,Resto de Europa,Europa Nórdica,Media,6.730002050340147,6.670315854293608,256,1.1147530292407337
IS,Islandia,Resto de Europa,Europa Nórdica,Superior,7.506345229445317,7.688374145582972,367,1.1147530292407337
IT,Italia,Resto de Europa,Europa Meridional,Básica,4.5731692556198595,4.677125247072808,809,0.7461694209323628
IT,Italia,Resto de Europa,Europa Meridional,Media,5.051479334234551,5.130535915251329,919,0.7461694209323628
IT,Italia,Resto de Europa,Europa Meridional,Superior,5.319338676552222,5.396152926725404,338,0.7461694209323628
LT,Lituania,Resto de Europa,Europa Oriental,Básica,5.4471054758632445,5.019500408040556,122,0.5374731429441271
LT,Lituania,Resto de Europa,Europa Oriental,Media,5.110056694100236,4.89373593140579,480,0.5374731429441271
LT,Lituania,Resto de Europa,Europa Oriental,Superior,5.647529837044363,5.360147868581354,379,0.5374731429441271
LV,Letonia,Resto de Europa,Europa Oriental,Básica,5.018497121005172,4.754201834488657,80,0.5476499683764962
LV,Letonia,Resto de Europa,Europa Oriental,Media,4.6214813093023075,4.43900817031546,436,0.5476499683764962
LV,Letonia,Resto de Europa,Europa Oriental,Superior,5.169131277678804,4.867908234104465,280,0.5476499683764962
ME,Montenegro,Resto de Europa,Europa Meridional,Básica,5.02904956296983,5.493012420811339,184,0.41552743380394475
ME,Montenegro,Resto de Europa,Europa Meridional,Media,4.761131570898163,5.146477559790431,921,0.41552743380394475
ME,Montenegro,Resto de Europa,Europa Meridional,Superior,4.613522129165886,5.023674367562825,193,0.41552743380394475
NL,Países Bajos,Resto de Europa,Europa Occidental,Básica,5.453511676503049,5.823396481989933,383,0.8673222065133936
NL,Países Bajos,Resto de Europa,Europa Occidental,Media,5.683096209898471,6.1327076532294384,549,0.8673222065133936
NL,Países Bajos,Resto de Europa,Europa Occidental,Superior,6.3208338830164426,6.841713890997144,629,0.8673222065133936
NO,Noruega,Resto de Europa,Europa Nórdica,Básica,5.697067989861271,5.583746433997988,141,1.1571350733964136
NO,Noruega,Resto de Europa,Europa Nórdica,Media,5.9262938538226075,6.037567052467033,541,1.1571350733964136
NO,Noruega,Resto de Europa,Europa Nórdica,Superior,6.8542030632576845,7.133775635231014,602,1.1571350733964136
PL,Polonia,Polonia,Europa Oriental,Básica,5.065695230174393,4.89517035383073,327,0.9782926265002008
PL,Polonia,Polonia,Europa Oriental,Media,5.58521998493461,5.614442580880749,458,0.9782926265002008
PL,Polonia,Polonia,Europa Oriental,Superior,6.043987856674594,6.069657884860511,390,0.9782926265002008
PT,Portugal,Resto de Europa,Europa Meridional,Básica,5.211062162671995,5.307616941743814,480,1.082459287029276
PT,Portugal,Resto de Europa,Europa Meridional,Media,5.617759718351382,5.712284995868053,317,1.082459287029276
PT,Portugal,Resto de Europa,Europa Meridional,Superior,6.293521449701271,6.507324120279552,270,1.082459287029276
RS,Serbia,Resto de Europa,Europa Oriental,Básica,4.7383011831133075,4.6188292615141275,113,0.4147353553304409
RS,Serbia,Resto de Europa,Europa Oriental,Media,4.80525959518205,4.894060865129739,588,0.4147353553304409
RS,Serbia,Resto de Europa,Europa Oriental,Superior,5.153036538443748,5.403747694449759,237,0.4147353553304409
SE,Suecia,Resto de Europa,Europa Nórdica,Básica,5.657559590536689,6.150222222956033,134,1.2980985837294012
SE,Suecia,Resto de Europa,Europa Nórdica,Media,6.226626231796995,6.706876115414127,590,1.2980985837294012
SE,Suecia,Resto de Europa,Europa Nórdica,Superior,6.95565817426609,7.518120031869832,444,1.2980985837294012
SI,Eslovenia,Resto de Europa,Europa Oriental,Básica,4.581349602273611,4.707224971690406,136,1.4093948423052627
SI,Eslovenia,Resto de Europa,Europa Oriental,Media,5.0087585456727375,5.006306372637226,604,1.4093948423052627
SI,Eslovenia,Resto de Europa,Europa Oriental,Superior,5.990744444578874,6.0911872663204285,272,1.4093948423052627
SK,Eslovaquia,Resto de Europa,Europa Oriental,Básica,3.895624134995294,4.087662944247603,80,0.40413650775123067
SK,Eslovaquia,Resto de Europa,Europa Oriental,Media,3.6867303452727693,3.728932915614683,920,0.40413650775123067
SK,Eslovaquia,Resto de Europa,Europa Oriental,Superior,4.090866853024,4.393185469958133,205,0.40413650775123067
UA,Ucrania,Resto de Europa,Europa Oriental,Básica,5.5141272106446495,4.977105879950904,107,0.19087195778179566
UA,Ucrania,Resto de Europa,Europa Oriental,Media,5.565809762457596,5.1514337168004305,709,0.19087195778179566
UA,Ucrania,Resto de Europa,Europa Oriental,Superior,5.704999168426445,5.432658430762005,448,0.19087195778179566
